date,permno,ticker,comnam,namedt,nameendt,prc,vol,ret
2024-05-23,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.33,275808.0,-0.009639
2024-05-22,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.45,184368.0,-0.000803
2024-05-22,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,467.78,9915621.0,0.00678
2024-05-21,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,464.63,11559584.0,-0.00898
2024-05-21,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.46,164337.0,-0.007171
2024-05-20,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.55,206362.0,0.004
2024-05-20,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,468.84,11616309.0,-0.006505
2024-05-17,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.5,160571.0,-0.000799
2024-05-17,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,471.91,10652368.0,-0.002789
2024-05-16,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.51,358446.0,-0.000799
2024-05-16,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,473.23001,16507134.0,-0.017257
2024-05-15,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,481.54001,12933050.0,0.020536
2024-05-15,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.52,188522.0,0.016234
2024-05-14,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,471.85001,10301422.0,0.008205
2024-05-14,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.32,214165.0,0.010665
2024-05-13,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.19,178114.0,0.006606
2024-05-13,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,468.01001,14431121.0,-0.017199
2024-05-10,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.11,163203.0,-0.005747
2024-05-10,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,476.20001,10605362.0,0.001641
2024-05-09,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.18,221944.0,-0.013765
2024-05-09,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,475.42001,9309587.0,0.005967
2024-05-08,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.35,278239.0,-0.011209
2024-05-08,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,472.60001,11506799.0,0.009312
2024-05-07,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,468.23999,13185822.0,0.005497
2024-05-07,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.49,253384.0,-0.004781
2024-05-06,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,465.67999,14922629.0,0.030357
2024-05-06,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.55,245289.0,0.012097
2024-05-03,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.4,253957.0,0.023102
2024-05-03,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,451.95999,16267789.0,0.023275
2024-05-02,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,12.12,243073.0,0.024514
2024-05-02,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,441.67999,14969995.0,0.00567
2024-05-01,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,439.19,19980276.0,0.020968
2024-05-01,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.83,106007.0,-0.00337
2024-04-30,13407,META,META PLATFORMS INC,2023-04-11,2024-12-31,430.17001,18180167.0,-0.005663
2024-04-30,21413,METV,LISTED FUNDS TRUST,2022-01-31,2024-06-25,11.87,131889.0,-0.014938
